latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price
42.29985744,-71.11235604,Townhouse,2,1,1,1,62.00
42.31842255,-71.10550531,Apartment,2,1,1,1,110.00
42.31185272,-71.10926319,Apartment,6,2,3,3,250.00
42.31737019,-71.11485899,Apartment,6,1,2,2,150.00
42.30704885,-71.11662413,House,7,2,3,4,300.00
42.30906285,-71.11141973,Apartment,2,1,0,1,119.00
42.30883694,-71.11935092,Apartment,2,1,0,1,175.00
42.31923483,-71.10501594,House,6,2,2,2,195.00
42.30606394,-71.11516054,Condominium,4,1,2,2,145.00
42.3039816,-71.11848461,Apartment,4,1,2,2,200.00
42.31482748,-71.11295481,House,1,1,1,1,90.00
42.30484333,-71.10627116,Apartment,4,1,2,2,210.00
42.31337133,-71.11089129,Apartment,2,1,1,1,75.00
42.32357026,-71.10670813,Apartment,2,1,1,1,46.00
42.29559334,-71.11530146,Condominium,2,1,1,1,75.00
42.30433801,-71.1087173,Apartment,6,1,3,3,500.00
42.30443377,-71.10967689,Apartment,2,1,1,1,60.00
42.32309569,-71.10851427,Apartment,5,1,1,2,130.00
42.31147167,-71.10529986,Apartment,6,1.5,2,3,190.00
42.30711034,-71.10582363,Apartment,2,1,1,1,100.00
42.30983485,-71.11457927,House,6,3,3,6,450.00
42.31807257,-71.11267006,Apartment,8,2,4,4,399.00
42.32394222,-71.10820204,Apartment,5,1,2,2,350.00
42.30904986,-71.11253859,Apartment,4,1,2,2,200.00
42.32004367,-71.10784416,Apartment,2,1,1,1,99.00
42.30871721,-71.11051776,House,6,2,3,4,295.00
42.30508831,-71.10735817,Apartment,2,1,1,1,107.00
42.30794791,-71.10929999,Apartment,1,1,1,1,69.00
42.30970116,-71.11833424,Apartment,2,1,1,1,76.00
42.32080939,-71.10730266,Apartment,2,1,1,1,75.00
42.31579766,-71.116963,House,1,1,1,1,55.00
42.32249609,-71.11475792,Apartment,2,1,1,2,65.00
42.31805468,-71.11186936,Condominium,2,1.5,1,1,59.00
42.29956292,-71.11283945,House,2,1,1,1,88.00
42.30988682,-71.11789702,House,5,2,4,3,164.00
42.32508878,-71.1072298,House,2,1,0,1,90.00
42.31395141,-71.11600892,Apartment,4,2,2,2,185.00
42.3232429,-71.11357115,Apartment,2,1,1,1,80.00
42.31838302,-71.1018781,House,2,1,1,1,105.00
42.30026388,-71.11180739,House,2,1,1,1,90.00
42.3186354,-71.10640628,Apartment,2,1,1,1,100.00
42.31359024,-71.1091153,Apartment,2,1,1,1,100.00
42.31813877,-71.10367354,Apartment,5,1.5,2,3,200.00
42.32085835,-71.11249877,Apartment,8,1.5,4,4,300.00
42.3192652,-71.11324624,House,2,1,1,1,60.00
42.31433572,-71.11641498,Apartment,6,1,3,3,319.00
42.30681153,-71.11052442,Apartment,2,1,1,1,85.00
42.32267198,-71.10078612,Condominium,2,2,1,1,70.00
42.30977751,-71.11879574,Apartment,2,1,1,1,50.00
42.3044244,-71.11429864,Apartment,4,1,1,1,119.00
42.32551167,-71.11320967,Condominium,3,1,1,2,125.00
42.31121058,-71.10200967,Apartment,2,1,1,1,53.00
42.31874258,-71.11599746,Apartment,4,1,1,1,125.00
42.30595864,-71.13230208,House,6,2.5,4,4,199.00
42.3045593,-71.11364252,Apartment,4,1,2,2,205.00
